original_id	canonical_id
royals:wp:en:duke-of-san-cyprian	royals:wp:en:duke-of-san-cyprian
royals:wp:en:castello-scaligero-malcesine	royals:wp:en:castello-scaligero-malcesine
royals:wp:en:prince-of-maletto	royals:wp:en:prince-of-maletto
royals:wp:en:prince-of-venetico	royals:wp:en:prince-of-venetico
royals:wp:en:prince-of-mazzarà	royals:wp:en:prince-of-mazzarà
royals:wp:en:prince-of-policastrello	royals:wp:en:prince-of-policastrello
royals:wp:en:beatrice-visconti	royals:wp:en:beatrice-visconti
royals:wp:en:princess-ludmilla-of-arenberg	royals:wp:en:princess-ludmilla-of-arenberg
royals:wp:en:prince-jacques-de-broglie	royals:wp:en:prince-jacques-de-broglie
royals:wp:en:élisabeth-de-broglie	royals:wp:en:élisabeth-de-broglie
royals:wp:en:zénaïde-clary	royals:wp:en:zénaïde-clary
royals:wp:en:anne-de-coligny	royals:wp:en:anne-de-coligny
royals:wp:en:alfred-duke-of-croÿ	royals:wp:en:alfred-duke-of-croÿ
royals:wp:en:alfred-10th-duke-of-croÿ	royals:wp:en:alfred-10th-duke-of-croÿ
royals:wp:en:auguste-9th-duke-of-croÿ	royals:wp:en:auguste-9th-duke-of-croÿ
royals:wp:en:emma-of-croÿ	royals:wp:en:emma-of-croÿ
royals:wp:en:princess-emma-of-croÿ	royals:wp:en:princess-emma-of-croÿ
royals:wp:en:princess-charlotte-of-croÿ-born-1938	royals:wp:en:princess-charlotte-of-croÿ-born-1938
royals:wp:en:eugene-du-pont-jr	royals:wp:en:eugene-du-pont-jr
royals:wp:en:amélia-elizabeth-du-pont	royals:wp:en:amélia-elizabeth-du-pont
royals:wp:en:ethel-pyle-du-pont	royals:wp:en:ethel-pyle-du-pont
royals:wp:en:aimée-du-pont	royals:wp:en:aimée-du-pont
royals:wp:en:elizabeth-du-pont-bayard	royals:wp:en:elizabeth-du-pont-bayard
royals:wp:en:robert-h-richards-iv	royals:wp:en:robert-h-richards-iv
royals:wp:en:house-of-gascony	royals:wp:en:house-of-gascony
royals:wp:en:baron-nuneham	royals:wp:en:baron-nuneham
royals:wp:en:baron-harcourt	royals:wp:en:baron-harcourt
royals:wp:en:herbertien-dynasty	royals:wp:en:herbertien-dynasty
royals:wp:en:princess-malcy-murat	royals:wp:en:princess-malcy-murat
royals:wp:en:nicole-pastré	royals:wp:en:nicole-pastré
